drugbank_id	chebi_id	MeSH
DB00035	4450	D003894
DB00035	59728	D003894
DB00050	31387	C062876
DB00050	59224	C062876
DB00091	4031	D016572
DB00093	60564	D005259
DB00114	18405	D011732
DB00114	597326	D011732
DB00115	29306	
DB00116	15635	
DB00116	20506	
DB00116	57453	
DB00116	68437	
DB00117	15971	D006639
DB00117	27570	D006639
DB00117	27947	D006639
DB00117	32510	D006639
DB00117	32512	D006639
DB00117	32513	D006639
DB00117	32523	D006639
DB00117	32526	D006639
DB00117	32527	D006639
DB00117	32529	D006639
DB00117	32531	D006639
DB00117	32532	D006639
DB00117	57595	D006639
DB00118	15414	C011501
DB00118	15414	D012436
DB00118	33440	C011501
DB00118	33440	D012436
DB00118	33442	C011501
DB00118	33442	D012436
DB00118	59789	C011501
DB00118	59789	D012436
DB00118	67040	C011501
DB00118	67040	D012436
DB00119	15361	
DB00119	32816	
DB00120	16998	
DB00120	17295	
DB00120	28044	
DB00120	32486	
DB00120	32487	
DB00120	32494	
DB00120	32495	
DB00120	32504	
DB00120	32505	
DB00120	57981	
DB00120	58095	
DB00120	76052	
DB00121	15956	D001710
DB00121	57586	D001710
DB00122	15354	C015075
DB00122	15354	C017959
DB00122	15354	D002794
DB00122	15354	D010767
DB00122	72322	C015075
DB00122	72322	C017959
DB00122	72322	D002794
DB00122	72322	D010767
DB00123	16855	
DB00123	18019	
DB00123	25094	
DB00123	32550	
DB00123	32551	
DB00123	32552	
DB00123	32556	
DB00123	32557	
DB00123	32558	
DB00123	32563	
DB00123	32564	
DB00123	32565	
DB00125	15816	D001120
DB00125	16467	D001120
DB00125	29016	D001120
DB00125	32681	D001120
DB00125	32682	D001120
DB00125	32683	D001120
DB00125	32688	D001120
DB00125	32689	D001120
DB00125	32690	D001120
DB00125	32695	D001120
DB00125	32696	D001120
DB00125	32697	D001120
DB00126	29073	C069207
DB00126	29073	D001205
DB00126	38290	C069207
DB00126	38290	D001205
DB00126	51384	C069207
DB00126	51384	D001205
DB00126	51438	C069207
DB00126	51438	D001205
DB00126	51440	C069207
DB00126	51440	D001205
DB00127	15746	
DB00127	45725	
DB00128	17053	D001224
DB00128	17364	D001224
DB00128	22660	D001224
DB00128	29990	D001224
DB00128	29991	D001224
DB00128	29993	D001224
DB00128	29994	D001224
DB00128	29995	D001224
DB00128	35391	D001224
DB00129	15729	D009952
DB00129	16176	D009952
DB00129	18257	D009952
DB00129	32964	D009952
DB00129	44667	D009952
DB00129	46911	D009952
DB00129	46912	D009952
DB00129	46913	D009952
DB00129	46914	D009952
DB00129	57668	D009952
DB00130	17061	
DB00130	18050	
DB00130	28300	
DB00130	32665	
DB00130	32666	
DB00130	32672	
DB00130	32673	
DB00130	32678	
DB00130	32679	
DB00130	58000	
DB00130	58359	
DB00131	16027	D000249
DB00131	40721	D000249
DB00131	456215	D000249
DB00132	27432	D017962
DB00132	32387	D017962
DB00133	16523	D012694
DB00133	17115	D012694
DB00133	17822	D012694
DB00133	32836	D012694
DB00133	32837	D012694
DB00133	32840	D012694
DB00133	32841	D012694
DB00133	32845	D012694
DB00133	32846	D012694
DB00133	33384	D012694
DB00133	35243	D012694
DB00133	35247	D012694
DB00134	16643	D008715
DB00134	16811	D008715
DB00134	16867	D008715
DB00134	32631	D008715
DB00134	32632	D008715
DB00134	32637	D008715
DB00134	32638	D008715
DB00134	32644	D008715
DB00134	32646	D008715
DB00134	57844	D008715
DB00134	57932	D008715
DB00134	64558	D008715
DB00135	17895	D014443
DB00135	18186	D014443
DB00135	28479	D014443
DB00135	32760	D014443
DB00135	32761	D014443
DB00135	32762	D014443
DB00135	32773	D014443
DB00135	32774	D014443
DB00135	32775	D014443
DB00135	32784	D014443
DB00135	32785	D014443
DB00135	32786	D014443
DB00135	58315	D014443
DB00135	58570	D014443
DB00136	17823	D002117
DB00137	28838	D014975
DB00138	16283	D003553
DB00138	17376	D003553
DB00138	35491	D003553
DB00138	35492	D003553
DB00138	35494	D003553
DB00138	63163	D003553
DB00139	15741	D019802
DB00139	30031	D019802
DB00139	30779	D019802
DB00140	17015	D012256
DB00140	57986	D012256
DB00141	17122	
DB00141	17411	
DB00142	14321	D018698
DB00142	15966	D018698
DB00142	16015	D018698
DB00142	18237	D018698
DB00142	29985	D018698
DB00142	29986	D018698
DB00142	29987	D018698
DB00142	29988	D018698
DB00142	29989	D018698
DB00142	76051	D018698
DB00143	16856	D005978
DB00143	57925	D005978
DB00145	15428	D005998
DB00145	32507	D005998
DB00145	32508	D005998
DB00145	57305	D005998
DB00146	17933	D002112
DB00147	17310	D011730
DB00147	17310	D011732
DB00148	16919	D003401
DB00148	57947	D003401
DB00148	66924	D003401
DB00149	15603	D007930
DB00149	25017	D007930
DB00149	28225	D007930
DB00149	32619	D007930
DB00149	32620	D007930
DB00149	32623	D007930
DB00149	32624	D007930
DB00149	32627	D007930
DB00149	32628	D007930
DB00149	57427	D007930
DB00150	16296	
DB00150	16828	
DB00150	27897	
DB00150	32702	
DB00150	32704	
DB00150	32716	
DB00150	32717	
DB00150	32727	
DB00150	32728	
DB00150	57719	
DB00150	57912	
DB00150	64554	
DB00151	15356	D003545
DB00151	16375	D003545
DB00151	17561	D003545
DB00151	32442	D003545
DB00151	32443	D003545
DB00151	32445	D003545
DB00151	32449	D003545
DB00151	32450	D003545
DB00151	32451	D003545
DB00151	32456	D003545
DB00151	32457	D003545
DB00151	32458	D003545
DB00151	35235	D003545
DB00151	35236	D003545
DB00151	35237	D003545
DB00152	18385	D013831
DB00152	49107	D013831
DB00153	28934	
DB00154	53486	
DB00154	71589	
DB00155	16349	D002956
